 # Z-Coordinate     Average potential
        0.00000000        5.84442956
        0.16498316        5.84441820
        0.32996632        5.84441022
        0.49494948        5.84440218
        0.65993264        5.84439358
        0.82491580        5.84438542
        0.98989896        5.84437929
        1.15488212        5.84437638
        1.31986528        5.84436922
        1.48484844        5.84436236
        1.64983160        5.84435924
        1.81481476        5.42419265
        1.97979792        5.42418708
        2.14478108        5.42418582
        2.30976424        5.42418119
        2.47474740        5.42417639
        2.63973056        5.42416585
        2.80471372        5.42414509
        2.96969687        5.42409927
        3.13468003        5.42399554
        3.29966319        5.42376151
        3.46464635        5.42325056
        3.62962951        5.42217612
        3.79461267        5.41999176
        3.95959583        5.41571789
        4.12457899        5.40764624
        4.28956215        5.39288793
        4.45454531        5.36669679
        4.61952847        5.32136922
        4.78451163        5.24450451
        4.94949479        5.11604902
        5.11447795        4.90334803
        5.27946111        4.55302706
        5.44444427        3.97814368
        5.60942743        3.03757722
        5.77441059        1.49948290
        5.93939375       -1.02492876
        6.10437691       -5.16463025
        6.26936007      -11.75429440
        6.43434323      -21.26038693
        6.59932639      -31.90943866
        6.76430955      -38.45330338
        6.92929271      -36.46762894
        7.09427587      -27.40481852
        7.25925903      -16.89164859
        7.42424219       -8.79248585
        7.58922535       -3.64954070
        7.75420851       -0.83360718
        7.91919167        0.24171632
        8.08417483       -0.14707067
        8.24915799       -2.04697128
        8.41414115       -5.83366561
        8.57912430      -12.14790331
        8.74410746      -21.34867334
        8.90909062      -31.74084999
        9.07407378      -38.31734122
        9.23905694      -36.66208280
        9.40404010      -27.94768769
        9.56902326      -17.56460907
        9.73400642       -9.42536572
        9.89898958       -4.18295206
       10.06397274       -1.24404790
       10.22895590       -0.03724949
       10.39393906       -0.30162187
       10.55892222       -2.10198868
       10.72390538       -5.83064677
       10.88888854      -12.13713576
       11.05387170      -21.36638811
       11.21885486      -31.79690438
       11.38383802      -38.47598539
       11.54882118      -37.01259115
       11.71380434      -28.44953045
       11.87878750      -18.03536626
       12.04377066       -9.72339615
       12.20875382       -4.27977930
       12.37373698       -1.12921843
       12.53872014        0.33494522
       12.70370330        0.42543882
       12.86868646       -0.85011309
       13.03366962       -3.77742398
       13.19865278       -8.90457539
       13.36363594      -16.72128771
       13.52861910      -26.55505985
       13.69360226      -35.12866648
       13.85858542      -37.72502203
       14.02356858      -32.63100343
